1.3	org
1.3.6	dod
1.3.6.1	internet
1.3.6.1.1	directory
1.3.6.1.2	mgmt
1.3.6.1.2.1	mib-2
1.3.6.1.2.1.10	transmission
1.3.6.1.3	experimental
1.3.6.1.4	private
1.3.6.1.4.1	enterprises
1.3.6.1.4.1.2021	ucdavis
1.3.6.1.4.1.2021.2	prTable
1.3.6.1.4.1.2021.2.1	prEntry
1.3.6.1.4.1.2021.2.1.1	prIndex
1.3.6.1.4.1.2021.2.1.2	prNames
1.3.6.1.4.1.2021.2.1.3	prMin
1.3.6.1.4.1.2021.2.1.4	prMax
1.3.6.1.4.1.2021.2.1.5	prCount
1.3.6.1.4.1.2021.2.1.100	prErrorFlag
1.3.6.1.4.1.2021.2.1.101	prErrMessage
1.3.6.1.4.1.2021.2.1.102	prErrFix
1.3.6.1.4.1.2021.2.1.103	prErrFixCmd
1.3.6.1.4.1.2021.4	memory
1.3.6.1.4.1.2021.4.1	memIndex
1.3.6.1.4.1.2021.4.2	memErrorName
1.3.6.1.4.1.2021.4.3	memTotalSwap
1.3.6.1.4.1.2021.4.4	memAvailSwap
1.3.6.1.4.1.2021.4.5	memTotalReal
1.3.6.1.4.1.2021.4.6	memAvailReal
1.3.6.1.4.1.2021.4.7	memTotalSwapTXT
1.3.6.1.4.1.2021.4.8	memAvailSwapTXT
1.3.6.1.4.1.2021.4.9	memTotalRealTXT
1.3.6.1.4.1.2021.4.10	memAvailRealTXT
1.3.6.1.4.1.2021.4.11	memTotalFree
1.3.6.1.4.1.2021.4.12	memMinimumSwap
1.3.6.1.4.1.2021.4.13	memShared
1.3.6.1.4.1.2021.4.14	memBuffer
1.3.6.1.4.1.2021.4.15	memCached
1.3.6.1.4.1.2021.4.100	memSwapError
1.3.6.1.4.1.2021.4.101	memSwapErrorMsg
1.3.6.1.4.1.2021.8	extTable
1.3.6.1.4.1.2021.8.1	extEntry
1.3.6.1.4.1.2021.8.1.1	extIndex
1.3.6.1.4.1.2021.8.1.2	extNames
1.3.6.1.4.1.2021.8.1.3	extCommand
1.3.6.1.4.1.2021.8.1.100	extResult
1.3.6.1.4.1.2021.8.1.101	extOutput
1.3.6.1.4.1.2021.8.1.102	extErrFix
1.3.6.1.4.1.2021.8.1.103	extErrFixCmd
1.3.6.1.4.1.2021.9	dskTable
1.3.6.1.4.1.2021.9.1	dskEntry
1.3.6.1.4.1.2021.9.1.1	dskIndex
1.3.6.1.4.1.2021.9.1.2	dskPath
1.3.6.1.4.1.2021.9.1.3	dskDevice
1.3.6.1.4.1.2021.9.1.4	dskMinimum
1.3.6.1.4.1.2021.9.1.5	dskMinPercent
1.3.6.1.4.1.2021.9.1.6	dskTotal
1.3.6.1.4.1.2021.9.1.7	dskAvail
1.3.6.1.4.1.2021.9.1.8	dskUsed
1.3.6.1.4.1.2021.9.1.9	dskPercent
1.3.6.1.4.1.2021.9.1.10	dskPercentNode
